formula,Temperature,target
Ti3Al,1000,0
Ti3Al5,1000,0
Ta11Al4,1000,0
Ta13Al23,1000,0
Nb4Al,1000,0
MgAl2,1000,0
CdAg,1000,0
AlV2,1000,0
Al5O8,1000,0
Al5S8,1000,0
Al2S3,1000,0
Al2Te3,1000,0
Al4Ni15,1000,0
Al8V5,1000,0
AlSb,1000,0
AlRe,1000,0
AlNi,1000,0
AlAg,1000,0
AlAu4,1000,0
Al2Ni3,1000,0
Al41V4,1000,0
Ag3Sn,1000,0
Al11O18,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al8O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
AlF3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O,1000,0
Al2O3,1000,0
Al38O21,1000,0
AlF3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al38O21,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2Se3,1000,0
Al2O3,1000,0
Al2O3,1000,0
AlF3,1000,0
AlF3,1000,0
AlO3,1000,0
NaAl3,1000,0
YbAl3,1000,0
HfAl2,1000,0
Be12Ag,1000,0
LaAl,1000,0
GdAl,1000,0
Mg13Al14,1000,0
Hf2Al,1000,0
Zr2Al,1000,0
NdAl,1000,0
Al2Cu,1000,0
AlCu3,1000,0
Hf2Ag,1000,0
AlN,1000,0
AlF3,1000,0
AlN,1000,0
Zr3Al2,1000,0
AlV3,1000,0
PuAl3,1000,0
AlAu,1000,0
Al7Te10,1000,0
Zr3Al,1000,0
Zr2Al3,1000,0
AlNi,1000,0
AlAu4,1000,0
Al21Pd8,1000,0
Al3Pt5,1000,0
Al2Pt,1000,0
Al4C3,1000,0
Al9Rh2,1000,0
Al12Re,1000,0
Al3Au8,1000,0
Al9Co2,1000,0
Ho2Al,1000,0
Li3Al2,1000,0
LuAl,1000,0
Lu3Al2,1000,0
NdAl3,1000,0
Al3Ni5,1000,0
Al4Ni3,1000,0
NpAl4,1000,0
Al3Os2,1000,0
Al2Pd,1000,0
Al3Pd5,1000,0
Al12Tc,1000,0
Zr5Al3,1000,0
AlPt2,1000,0
AlN,1000,0
UAl3,1000,0
MnAl6,1000,0
CaAl4,1000,0
Mg23Al30,1000,0
ThAl,1000,0
Al13Ru4,1000,0
Al5Rh2,1000,0
NdAl4,1000,0
NbAl3,1000,0
Nb2Al,1000,0
HoAl3,1000,0
AlIr,1000,0
SmAl4,1000,0
Al2O3,1000,0
Ba7Al13,1000,0
TiAl,1000,0
Al5Co2,1000,0
TiAg,1000,0
GdAl2,1000,0
Al8Cr5,1000,0
AlFe3,1000,0
CeAl,1000,0
Zr5Al3,1000,0
CeAl2,1000,0
Pr3Al,1000,0
LaAl4,1000,0
ScAl3,1000,0
ErAl3,1000,0
Ce3Al,1000,0
PuAl2,1000,0
Mg17Al12,1000,0
AlAs,1000,0
SrAl2,1000,0
CeAl4,1000,0
YAl2,1000,0
PrAl4,1000,0
Hf5Al3,1000,0
Th3Al2,1000,0
CaAl2,1000,0
Ce3Al,1000,0
YAl3,1000,0
HfAl,1000,0
Al3V,1000,0
NpAl3,1000,0
AlMo3,1000,0
AlNi3,1000,0
Ba3Al5,1000,0
HfAl3,1000,0
AlSb,1000,0
Ba4Al5,1000,0
Al2Au,1000,0
AlFe,1000,0
LaAl2,1000,0
SrAl,1000,0
CeAg,1000,0
SrAl4,1000,0
AlPd2,1000,0
AlCo,1000,0
Al2Te3,1000,0
Al23V4,1000,0
Al4W,1000,0
Al5W,1000,0
Y3Al,1000,0
Zn8Ag5,1000,0
Al45Cr7,1000,0
DyAl3,1000,0
Er3Al2,1000,0
AlFe2,1000,0
Np3Al,1000,0
Al2O3,1000,0
Al2O3,1000,0
TbAl3,1000,0
HoAl2,1000,0
ZrAl3,1000,0
NdAl2,1000,0
DyAl,1000,0
AlF3,1000,0
UAl2,1000,0
Al23B50,1000,0
PuAl3,1000,0
AlRu,1000,0
PuAl4,1000,0
GdAg,1000,0
TiAl3,1000,0
AlF3,1000,0
AlF3,1000,0
CeAl3,1000,0
DyAl3,1000,0
TiAl2,1000,0
Al13Os4,1000,0
Mg41Al67,1000,0
Li9Al4,1000,0
PrAl,1000,0
YbAg,1000,0
HfAl3,1000,0
Al5Mo,1000,0
UAl2,1000,0
ZrAl3,1000,0
Al3Pt2,1000,0
DyAl3,1000,0
Al6Fe,1000,0
AlH3,1000,0
Ba7Al10,1000,0
Al17Mo4,1000,0
AgCl,1000,0
Zr5Al4,1000,0
Ce3Al,1000,0
Al5Mo,1000,0
Al3Mo,1000,0
Dy3Al2,1000,0
GaAg2,1000,0
EuAl4,1000,0
Al4Cu9,1000,0
Be2Ag,1000,0
AlPd5,1000,0
Al3Ni,1000,0
EuAg,1000,0
Al4C3,1000,0
AlF3,1000,0
Ta2Al,1000,0
Al2O3,1000,0
Al2S3,1000,0
ThAl2,1000,0
AlPd,1000,0
AlNi3,1000,0
Al2O3,1000,0
Al2S3,1000,0
Al2S3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2Se3,1000,0
Al2S3,1000,0
Al2O3,1000,0
AlPd,1000,0
Al4C3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
TbAl2,1000,0
AgF,1000,0
Al2O3,1000,0
In2Ag,1000,0
MnAl,1000,0
Al2O3,1000,0
Al2O3,1000,0
DyAl2,1000,0
AlF3,1000,0
ScAl2,1000,0
Hf2Al3,1000,0
TmAl2,1000,0
PaAl3,1000,0
Pa3Al,1000,0
PmAl3,1000,0
NdAl,1000,0
DyAl3,1000,0
YAl3,1000,0
TbAl3,1000,0
Al3Tc,1000,0
Al3Cr,1000,0
SmAl3,1000,0
TaAl3,1000,0
AlOs,1000,0
AlP,1000,0
AlAs,1000,0
YbAl2,1000,0
Mn3Al,1000,0
Lu3Al,1000,0
PaAl3,1000,0
Rb3Al,1000,0
Rb3Al,1000,0
RbAl,1000,0
Li3Al,1000,0
LiAl3,1000,0
NaAl3,1000,0
Nd3Al,1000,0
NpAl3,1000,0
Mg3Al,1000,0
Sc3Al,1000,0
SmAl,1000,0
TmAl3,1000,0
Sm3Al,1000,0
Tb3Al2,1000,0
Tm3Al2,1000,0
Al3Zn,1000,0
Al3Ga,1000,0
BeAg3,1000,0
Al3Fe,1000,0
AlFe,1000,0
AlFe2,1000,0
Al2O3,1000,0
Al2Cu,1000,0
Al3Cu,1000,0
AlAs,1000,0
AlAs,1000,0
AlP,1000,0
Al2Cu,1000,0
TiAl3,1000,0
ScAl3,1000,0
ScAl,1000,0
AgN,1000,0
HoAs,1000,0
ErAs,1000,0
Ba5As3,1000,0
Ca5As3,1000,0
GaAs,1000,0
TeAs,1000,0
InAs,1000,0
TlAs,1000,0
MnAs,1000,0
NaAs,1000,0
NdAs,1000,0
PrAs,1000,0
DyAs,1000,0
Ca2As,1000,0
Sr3As2,1000,0
CoAs2,1000,0
AlCu,1000,0
AlSb,1000,0
AlNi2,1000,0
MgAl,1000,0
MgAl,1000,0
MgAl,1000,0
GaAs,1000,0
PrAs,1000,0
CsAl,1000,0
As2W,1000,0
NaAs2,1000,0
CsAl,1000,0
EuAs3,1000,0
EuAs3,1000,0
KAs,1000,0
LiAl,1000,0
Co2As,1000,0
SmAl4,1000,0
SrAs3,1000,0
RbAs,1000,0
AsPd2,1000,0
Na5As4,1000,0
La3Al,1000,0
AlAu,1000,0
La3Al,1000,0
LiAl3,1000,0
Al3Pt2,1000,0
AlRe,1000,0
Mg16Al13,1000,0
Mg18Al11,1000,0
Mg3Al,1000,0
Ca3As2,1000,0
Yb4As3,1000,0
Ni11As8,1000,0
TmAs,1000,0
Nd2Al,1000,0
CeAs2,1000,0
EuAs,1000,0
HoAl3,1000,0
UAs2,1000,0
AsRh2,1000,0
PrAs2,1000,0
EuAs,1000,0
AsS,1000,0
Sm3Al11,1000,0
LaAl4,1000,0
CeAl4,1000,0
As2O3,1000,0
AsPd3,1000,0
Sc3As2,1000,0
Eu5As3,1000,0
Ho3Al2,1000,0
AlH3,1000,0
NaAs,1000,0
SmAl,1000,0
Sr8Al7,1000,0
Tb3Al,1000,0
Y2Al,1000,0
YAl3,1000,0
ZrAl,1000,0
Na3As,1000,0
Al2O3,1000,0
As3W2,1000,0
SiAs3,1000,0
Mn2Al3,1000,0
KAs,1000,0
AsS,1000,0
As2O9,1000,0
AlO2,1000,0
AlO3,1000,0
AlO3,1000,0
Al3As,1000,0
Al3H,1000,0
Al3Cd,1000,0
AlPd3,1000,0
Al3Pt,1000,0
AlTc3,1000,0
AlH3,1000,0
AsPb3,1000,0
AlPb3,1000,0
AsPt3,1000,0
Bi3As,1000,0
Cd3As,1000,0
CdAs3,1000,0
CeAs3,1000,0
GaAs3,1000,0
Cu3As,1000,0
Cu3As,1000,0
Dy3Al,1000,0
Dy3As,1000,0
ErAl3,1000,0
ErAs3,1000,0
Hf3Al,1000,0
HoAs3,1000,0
K3Al,1000,0
LaAs3,1000,0
Lu3Al,1000,0
Mg2As,1000,0
Mg5As,1000,0
MgAs,1000,0
Np3As,1000,0
NbAs3,1000,0
NdAs3,1000,0
PmAs3,1000,0
PuAs3,1000,0
ReAs3,1000,0
Sc3As,1000,0
Sn3As,1000,0
TcAs3,1000,0
TiAs3,1000,0
Tl3As,1000,0
Yb3Al,1000,0
Zr3Al,1000,0
CaAs,1000,0
NaAs,1000,0
TbAl3,1000,0
Hf3As2,1000,0
Al6Ge5,1000,0
Ca8Al3,1000,0
Zr7As4,1000,0
Li3As,1000,0
LiAl,1000,0
As2O3,1000,0
Ca4As3,1000,0
Te3As2,1000,0
Zn3As2,1000,0
Ta3As,1000,0
Al13Co4,1000,0
Dy2Al17,1000,0
Cd3As2,1000,0
Ti3As,1000,0
Zr3As,1000,0
Er2Al17,1000,0
Cd3As2,1000,0
Ti5As3,1000,0
Zr14As9,1000,0
Zn3As2,1000,0
AlO3,1000,0
LiAs3,1000,0
CuAs,1000,0
U2As3,1000,0
Zn2As,1000,0
Yb5As3,1000,0
Y4Al,1000,0
ErAl2,1000,0
Th2As3,1000,0
Sm4As3,1000,0
Nd4Al,1000,0
Te7As6,1000,0
Eu2As3,1000,0
Cr3As,1000,0
Ba4As3,1000,0
As2Pd5,1000,0
Al27V,1000,0
Zr8As5,1000,0
Zr8As5,1000,0
V20As11,1000,0
Ti3Al5,1000,0
Ti5Al11,1000,0
TeAs2,1000,0
Sc7As3,1000,0
SbAs,1000,0
Mn23As16,1000,0
GeAs3,1000,0
Al4Si,1000,0
Al5Se8,1000,0
Al4Cu15,1000,0
AsPd4,1000,0
AsP,1000,0
As2S,1000,0
AlCo4,1000,0
AsS,1000,0
GaAs,1000,0
LuAl2,1000,0
Al2O3,1000,0
Al2O3,1000,0
GaAs,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
GaAs,1000,0
Al2O3,1000,0
AlF3,1000,0
Al2O3,1000,0
Al2O,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
Al2O3,1000,0
GaAs,1000,0
GaAs,1000,0
Al2O3,1000,0
Cu3As,1000,0
CuAs2,1000,0
